Kingdom,Phylum,Class,Order,Family,Genus,Species,OTU
k__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micrococcales,f__Intrasporangiaceae,g__Tetrasphaera,s__midas_s_5,ASV1
k__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Microtrichales,f__Microtrichaceae,g__Ca_Microthrix,s__Ca_Microthrix_parvicella,ASV2
k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__C10-SB1A,f__Amarolineaceae,g__Ca_Amarolinea,s__midas_s_1,ASV3
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Carnobacteriaceae,g__Trichococcus,s__midas_s_4,ASV4
k__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Microtrichales,f__Microtrichaceae,g__Ca_Microthrix,s__Ca_Microthrix_subdominans,ASV5
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Rhodobacter,"",ASV6
k__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micrococcales,f__Intrasporangiaceae,g__Tetrasphaera,s__midas_s_220,ASV7
k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Saprospiraceae,g__midas_g_17,"",ASV8
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Rhodocyclaceae,g__Dechloromonas,s__Ca_Dechloromonas_phosphoritropha,ASV9
k__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micrococcales,f__Intrasporangiaceae,g__midas_g_99,s__midas_s_99,ASV10
k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Saprospiraceae,g__OLB8,s__midas_s_29,ASV11
k__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micrococcales,f__Intrasporangiaceae,g__Tetrasphaera,s__midas_s_5,ASV12
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Carnobacteriaceae,g__Trichococcus,s__midas_s_4,ASV13
k__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Propionibacteriales,f__Propionibacteriaceae,g__Propionicimonas,s__midas_s_49,ASV14
k__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micrococcales,f__Intrasporangiaceae,g__Tetrasphaera,s__midas_s_45,ASV15
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Rhodoferax,s__midas_s_33,ASV16
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Acidovorax,"",ASV17
k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__Anaerolineales,f__Anaerolineaceae,g__Ca_Villigracilis,s__midas_s_471,ASV18
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Rhodobacter,s__midas_s_24,ASV19
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Acidovorax,s__midas_s_1484,ASV20
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__Bradyrhizobium,"",ASV22
k__Bacteria,p__Nitrospirota,c__Nitrospiria,o__Nitrospirales,f__Nitrospiraceae,g__Nitrospira,s__Nitrospira_defluvii,ASV24
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Rhodobacter,"",ASV26
k__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Microtrichales,f__Microtrichaceae,g__Ca_Microthrix,s__Ca_Microthrix_subdominans,ASV27
